Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
aluminium alicante,Commercial,90,"0.28,0.43,0.06,0.09,0.28,0.12,0.43,0.28,0.21,0.15,0.21,1.00",33,1.26,0.47,"Image, Video, Local pack, Related searches, Popular products",7600000
carpintero en alicante,Commercial,90,"1.00,0.65,0.04,0.00,0.07,0.11,0.65,0.07,0.11,0.65,0.54,0.26",9,0.48,0.20,"Image, Local pack, Related searches",122
carpinteros en alicante,Commercial,90,"0.43,0.28,0.28,0.21,0.43,0.21,0.21,0.28,0.34,0.28,1.00,0.81",13,0.48,0.20,"Image, Local pack, Related searches",460000
herrero alicante,Commercial,90,"0.65,0.52,0.40,0.40,0.40,0.40,0.40,1.00,0.40,0.23,0.65,1.00",8,0.53,0.23,"Image, Image pack, Video, People also ask, Local pack, Related searches",2660000
herreros en alicante,Commercial,90,"0.45,0.81,1.00,0.45,1.00,0.64,0.64,1.00,1.00,0.64,0.81,0.64",8,0.53,0.23,"Image, Video, People also ask, Local pack, Related searches",902000
muebles a medida alicante,Informational,90,"0.17,0.23,0.17,0.17,0.23,0.28,0.17,0.17,0.23,0.53,0.66,1.00",11,0.57,0.75,"Image, Knowledge panel, Related searches",
alumed alicante,Navigational,70,"0.64,0.50,0.50,0.35,0.50,0.35,0.50,0.64,0.50,0.50,0.14,1.00",35,0.84,0.19,"Sitelinks, Image, Video, Knowledge panel, Related searches",2270
carpintero alicante barato,Commercial,70,"0.78,1.00,0.14,0.14,0.28,0.14,0.78,0.14,0.14,0.14,0.14,0.14",16,0.23,0.19,"Local pack, Related searches",
carpinteros de armarios a medida alicante,Commercial,50,"0.00,0.00,0.77,1.00,0.77,1.00,0.55,0.55,0.44,0.00",5,0.00,0.00,"Image, Local pack, Related searches",20600
carpinteros de muebles de cocina alicante,Commercial,50,"0.00,0.77,1.00,0.77,0.77,0.44,0.44,0.33,0.22",11,0.00,0.00,"Image, Video, Local pack, Related searches",
carpintería de aluminio en alicante,Commercial,50,"0.79,0.35,0.14,0.14,0.14,0.14,0.79,0.14,0.14,0.14,0.14,1.00",47,0.92,0.37,"Image, Local pack, Related searches",52
ebanisteria alicante,Commercial,50,"0.80,1.00,0.13,0.13,0.13,0.13,0.13,1.00,0.13,0.13,0.13,0.13",47,0.00,0.09,"Image, Local pack, Related searches",845000
estructuras metálicas en alicante,Informational,50,"0.14,1.00,0.00,0.14,0.00,0.52,0.14,0.14,0.14,0.19,0.19,0.23",4,0.00,0.29,"Image, Knowledge panel, Related searches",1990000
muebles a medida en alicante,Commercial,50,"0.09,0.00,0.09,0.09,1.00,1.00,0.81,0.63,0.63,0.63,0.81,0.63",13,0.57,0.75,"Image, Local pack, Related searches",
puertas de aluminio en alicante,Commercial,50,"0.17,0.17,0.17,0.45,0.81,1.00,0.36,0.27,0.64,0.45,0.45,0.36",47,0.56,0.77,"Image, Video, Local pack, Related searches, Popular products",1860000
suministros para el aluminio alicante,Commercial,50,"1.00,0.80,0.40",,0.00,0.00,"Image, People also ask, Local pack, Related searches",95800
almacen de maderas alicante,Commercial,40,"0.78,1.00,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.00,0.13",11,0.00,0.70,"Image, Video, Local pack, Related searches",2970000
almacenes de madera en alicante,Commercial,40,"0.78,1.00,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13",9,0.00,0.70,"Image, Video, Local pack, Related searches",
alumar alicante,"Navigational, Transactional",40,"0.14,0.14,0.14,1.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14,1.00",11,0.50,0.33,"Sitelinks, Image, Video, Knowledge panel, Related searches",
carpinteria madera alicante,Commercial,40,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",16,0.00,0.06,"Image, Video, Local pack, Related searches",1300000
instalación carpintería metálica en alicante,Commercial,40,"0.00,0.00,0.00,0.00,1.00,1.00,0.63,0.63,0.45,0.45,0.63,0.45",5,0.00,0.00,"Local pack, Related searches",439000
ventanas de aluminio alicante,Commercial,40,"0.14,0.49,0.14,0.35,0.21,0.14,0.49,0.28,0.79,0.49,0.14,1.00",46,1.19,0.83,"Image, Video, Local pack, Related searches, Popular products",1560000
carpinteria de aluminio en alicante,Commercial,30,"0.14,1.00,0.00,0.00,0.28,0.28,0.21,0.21,0.14,0.14,0.14,0.14",47,0.92,0.37,"Image, Local pack, Related searches",110
carpinteria metalica en alicante,Commercial,30,"0.79,0.37,0.79,0.58,1.00,0.37,0.37,0.58,0.37,0.00,0.37,0.37",18,1.04,0.24,"Local pack, Related searches",108
carpinteria pvc alicante,Commercial,30,"0.50,0.50,0.50,0.50,0.75,1.00,1.00,1.00,1.00,0.75,0.75,1.00",13,1.12,0.22,"Image, Video, Local pack, Related searches",2930000
carpinteria pvc en alicante,,30,"0.00,0.00,0.00,0.00,0.27,0.36,0.36,0.45,0.27,0.00,0.09,1.00",,0.00,0.00,,
carpintería de aluminio alicante,Commercial,30,"0.28,0.57,0.71,0.42,1.00,0.71,0.57,0.71,0.00,0.71,0.71,0.57",48,1.07,0.23,"Image, People also ask, Local pack, Related searches",852000
carpintería de aluminio en alicante barato,Commercial,30,"0.17,0.17,0.17,0.17,0.27,0.17,0.17,0.37,1.00,0.17,0.27,0.17",46,1.24,0.78,"Image, Local pack, Related searches",
fabricacion de carpinteria de pvc alicante,,30,"0.25,1.00,0.75,0.75",,0.00,0.00,,
fabricantes de carpinteria de pvc alicante,,30,"0.25,1.00,0.75,1.00",,0.00,0.00,,
reformas carpinteria madera puertas de madera alicante,,30,1.00,,0.00,0.00,,
ventanas aluminio alicante,Commercial,30,"0.27,0.27,0.27,0.27,1.00,0.56,0.41,0.41,0.56,0.71,0.56,0.27",47,1.24,0.24,"Image, People also ask, Local pack, Related searches",1590000
alicante carpinteria de pvc,,20,"0.14,0.14,0.14,0.28,0.71,1.00,0.42,0.14,0.14,0.14,0.14,0.14",,0.00,0.00,,
carpinteria a medida en alicante,,20,"0.00,0.00,0.00,0.00,0.75,1.00,0.25,0.75,1.00,1.00,0.75,0.75",,0.00,0.00,,
carpinteria de madera alicante,,20,"0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,1.00",,0.69,0.33,,
carpinteria ebanisteria alicante,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
carpinteria san juan alicante,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
carpinterias alicante,,20,"1.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.00,0.00,0.00,0.00",,0.68,0.23,,
carpinterias de madera en alicante,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.17,,
carpinterias ebanisterias alicante,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
curso carpinteria alicante,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.44,0.13,,
carpinteria de pvc alicante,,10,"0.50,1.00,1.00,0.50,1.00,1.00",,0.00,0.00,,
carpinteria de pvc en alicante,,10,"0.00,0.00,0.00,0.00,0.66,0.66,1.00,0.66,1.00,0.33,0.66,0.66",,0.00,0.00,,
carpinteria tecmetal inox denia alicante,,10,1.00,,0.00,0.00,,
carpinterias en alicante,,10,"1.00,0.00,0.00,0.00,0.27,0.27,0.27,0.27,0.00,0.00,0.00,0.00",,0.60,0.21,,
carpinterias metalicas en alicante,,10,"1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
a.j. maestre - carpinteria artistica - decoración artesanal - alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
accesorios carpinteria de aluminio zona alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
alicante almacen carpinteria madera,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
alicante carpinteria santos juan,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
almacen carpinteria alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
alutec carpinteria de aluminio alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
busco trabajo de carpinteria en alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria a medida alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,0.00,0.00,,
carpinteria a medidda san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria acero inoxidable alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria alicante babel,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria alicante capital,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria alicante centro,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria alicante madera,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria alicante provincia,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria alice,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria alice brunete,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio & pvc toldos y mamparas roberto frases alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio alicante convenio colectivo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio almar alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio en calle jaime niñoles en alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio florida alicante cefeo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio j alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio lacado alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio lacado barrio san agustín alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio lacado para terraza alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio lacado puertas a medida alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio playa de juan alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio playa de lan juan alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio robles alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio san juan alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminio sant joan alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aluminios raul alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria angel abellan fernandez de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria antolin alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria aristides alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria armarios alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria blasco alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria calle san mateo alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria calle velazquez alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria carbonell alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria chapa acero inoxidable alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria chayanne alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria corte madera alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria crisma alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria crisma alicante telefono,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria dc alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de alumin io en calle jaime niñoles alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio alicante capital,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio alicante capital economico,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio alicante foro,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio alicante mar,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio aluper alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio barata alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio buenas en alicante barato,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio en alicante barato,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio en alicante capital calle de las flores,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio en la calle san salvador alicante ciudad,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio en san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio guardiola alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio pascual y cuenca s.l vía alicante cocentaina,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio precios alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio provincia de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio rabasa alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio roberto frases alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio tukker alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de aluminio y pvc alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera alicant,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera alicante benidorm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera convenio colectivo alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera convenio colectivo alicante 2016,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera en alicante vega,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera en la provincia de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera en san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de madera marina alta alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de puertas lacadas en alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de pvc en alicante poligono atalayas,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria de pvc en alicante poligono foncalent,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria diseño alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria ebanistaria alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria ebanisteria juan gea arcas alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria ebanisteria lucas guerin alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria ebanisteria san fulgencio alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria ema alicante muchamiel,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria en alicante,,0,"1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00",,0.60,0.21,,
carpinteria en alicante donde hacen viruta de madera,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria en calle tomas capelo en san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria en pino alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria en san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria enma alicante muchamiel,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria espinos san juan de alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria esteve alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria flores alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria hermanos alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria hermanos flores alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria hierro alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria j.marin alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria joma alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria jurado alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria mabima avenida saturno alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria mabima sl alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria mabima sl av saturno 19 03007 alicante españa,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria mabima sl avenida saturno alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria madera alicante capital,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
carpinteria madera en alicante,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
